codigo_peca;descricao_original;nome_peca;categoria;marca_fabricante;modelo_moto;preco;quantidade_estoque;quantidade_minima;status
350375;GUARNICAO ESCAPE XTZ 125 AMIANTO VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;XTZ 125;3.21;76;8;DISPONIVEL
350380;GUARNICAO ESCAPE CB 500/ CBR450 SR VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;CB 500;3.31;70;8;DISPONIVEL
350385;GUARNICAO ESCAPE BROS 125-150 03-08/ CRF230 S/TELA VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;BROS 125;2.89;27;4;DISPONIVEL
350390;GUARNICAO ESCAPE LANDER 250/ XT 660 VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;LANDER 250;5.13;80;15;DISPONIVEL
350391;GUARNICAO ESCAPE LANDER 250/ XT 660 TELADA VALFLEX;GUARNICAO ESCAPE;ESCAPAMENTO;VALFLEX;LANDER 250;13.95;17;6;DISPONIVEL
350403;GUARNICAO CUBA CB 500 98-03/ CB 600 VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;CB 500 / CB 600;7.51;80;4;DISPONIVEL
350406;GUARNICAO CUBA YBR 125/ XTZ 125 VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;YBR 125 / XTZ 125;1.86;87;20;DISPONIVEL
350407;GUARNICAO CUBA TWIS/ TORN/ FALC 400 MOTOBOR;GUARNICAO CUBA;OUTROS;MOTOBOR;NÃO IDENTIFICADO;0.85;63;10;DISPONIVEL
350409;GUARNICAO CUBA YBR 125 FACT/ NEO 115 VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;YBR 125;3.48;41;6;DISPONIVEL
350410;GUARNICAO ESCAPE NX 150-200/ XR 200/ XLR VEDA;GUARNICAO ESCAPE NX 150-200/ XR 200/ XLR VEDA;ESCAPAMENTO;VEDAMOTORS;NÃO IDENTIFICADO;12.53;0;8;SEM ESTOQUE
350411;GUARNICAO TAMPA VALV CB 300/ XRE 300 VEDA;GUARNICAO TAMPA VALV;OUTROS;VEDAMOTORS;XRE 300 / CB 300;15.67;12;14;ESTOQUE BAIXO
350413;GUARNICAO CUBA TITAN 125 99-08/ TIT 150/BROS150/CBX200 VEDA;GUARNICAO CUBA;OUTROS;VEDAMOTORS;TITAN 125 / TITAN 150 / BROS150 / CBX200;1.75;13;6;DISPONIVEL
350420;GUARNICAO ESCAPE FALCON/ XLX 250-350/ NX350 VEDA;GUARNICAO ESCAPE;ESCAPAMENTO;VEDAMOTORS;FALCON;15.46;74;4;DISPONIVEL
350425;GUARNICAO ESCAPE TWIST 16.../CB- XRE 300/TORN 250 VEDA;GUARNICAO ESCAPE TWIST 16.../CB-;ESCAPAMENTO;VEDAMOTORS;XRE 300;14.41;26;7;DISPONIVEL
350430;GUARNICAO ESCAPE XT 660/ XT/TDM225/ VIRAGO 250/MT03 VEDA;GUARNICAO ESCAPE XT 660/ XT/TDM225/ VIRAGO 250/MT03 VEDA;ESCAPAMENTO;VEDAMOTORS;NÃO IDENTIFICADO;13.30;52;10;DISPONIVEL
